"Player","Team","Position","Type","Team","Pr","Date (EDT)","Gameweek"
"Jordan Ayew","CRY","F","Claim","1-john lim","1","Sat Apr 27, 2024, 9:18AM","35"
"Jacob Bruun Larsen","BUR","F","Drop","1 - The Narrative","1","Sat Apr 27, 2024, 9:18AM","35"
"Jordan Ayew","CRY","F","Drop","1-john lim","1","Sat Apr 27, 2024, 9:18AM","35"
"Emil Krafth","NEW","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Apr 27, 2024, 9:17AM","35"
"Oliver McBurnie","SHU","F","Drop","1-john lim","1","Sat Apr 27, 2024, 9:17AM","35"
"Timothy Castagne","LEI/FUL","D","Claim","1 - The Narrative","1","Sat Apr 27, 2024, 9:15AM","35"
"Dara O'Shea","BUR","D","Drop","1 - The Narrative","1","Sat Apr 27, 2024, 9:15AM","35"
"Antony","MUN","F","Claim","1 - The Narrative","1","Sat Apr 27, 2024, 9:14AM","35"
"Tosin Adarabioyo","FUL","D","Drop","1 - The Narrative","1","Sat Apr 27, 2024, 9:14AM","35"
"Sean Longstaff","NEW","M","Claim","1-The Dentist","1","Sat Apr 27, 2024, 9:06AM","35"
"Harvey Barnes","NEW","M","Drop","1-The Dentist","1","Sat Apr 27, 2024, 9:06AM","35"
"Rico Lewis","MCI","D","Claim","1-ComeBack Szn","1","Sat Apr 27, 2024, 9:05AM","35"
"Ben Chilwell","CHE","D","Drop","1-ComeBack Szn","1","Sat Apr 27, 2024, 9:05AM","35"
"Valentino Livramento","NEW","D","Claim","1-Koke Vegas","1","Sat Apr 27, 2024, 9:01AM","35"
"Kevin Schade","BRF","M","Drop","1-Koke Vegas","1","Sat Apr 27, 2024, 9:01AM","35"
"Jarell Quansah","LIV","D","Claim","1-rice cooker","1","Sat Apr 27, 2024, 6:57AM","35"
"Nelson Semedo","WOL","D","Claim","1-Burnley and Old Trafford","1","Sat Apr 27, 2024, 3:19AM","35"
"Reece Burke","LUT","D","Drop","1-Burnley and Old Trafford","1","Sat Apr 27, 2024, 3:19AM","35"
"Jordan Ayew","CRY","F","Claim","1-john lim","1","Sat Apr 27, 2024, 1:56AM","35"
"Dara O'Shea","BUR","D","Claim","1 - The Narrative","1","Fri Apr 26, 2024, 10:22PM","35"
"Jacob Bruun Larsen","BUR","F","Claim","1 - The Narrative","1","Fri Apr 26, 2024, 10:22PM","35"
"Harvey Elliott","LIV","M","Drop","1 - The Narrative","1","Fri Apr 26, 2024, 10:19PM","35"
"Jakub Kiwior","ARS","D","Drop","1 - The Narrative","1","Fri Apr 26, 2024, 10:19PM","35"
"Alphonse Areola","WHU","G","Claim","1-rice cooker","1","Fri Apr 26, 2024, 9:03PM","35"
"Neto","BOU","G","Drop","1-rice cooker","1","Fri Apr 26, 2024, 9:03PM","35"
"Vinicius de Souza Costa","SHU","M","Drop","1-rice cooker","1","Fri Apr 26, 2024, 9:02PM","35"
"Marc Cucurella","CHE","D","Claim","1-The Dentist","1","Fri Apr 26, 2024, 9:01PM","35"
"Julio Enciso","BHA","F","Drop","1-The Dentist","1","Fri Apr 26, 2024, 9:01PM","35"
"Julio Enciso","BHA","F","Claim","1-The Dentist","1","Fri Apr 26, 2024, 12:54PM","35"
"Ben Davies","TOT","D","Drop","1-The Dentist","1","Fri Apr 26, 2024, 12:51PM","35"
"Lewis Hall","CHE/NEW","D","Claim","1-The Dentist","1","Fri Apr 26, 2024, 12:50PM","35"
"Ibrahima Konate","LIV","D","Drop","1-The Dentist","1","Fri Apr 26, 2024, 12:50PM","35"
"Callum Wilson","NEW","F","Claim","1-Burnley and Old Trafford","1","Fri Apr 26, 2024, 12:45PM","35"
"Oscar Bobb","MCI","M","Drop","1-Burnley and Old Trafford","1","Fri Apr 26, 2024, 12:45PM","35"
"Alex Scott","BOU","M","Claim","1-Burnley and Old Trafford","1","Fri Apr 26, 2024, 12:44PM","35"
"Kristoffer Ajer","BRF","D","Claim","1 - The Narrative","1","Fri Apr 26, 2024, 10:24AM","35"
"Milos Kerkez","BOU","D","Drop","1 - The Narrative","1","Fri Apr 26, 2024, 10:24AM","35"
"Kevin Schade","BRF","M","Claim","1-Koke Vegas","1","Thu Apr 25, 2024, 10:54PM","35"
"Zanka","BRF","D","Claim","1-Koke Vegas","1","Thu Apr 25, 2024, 10:50PM","35"
"Micky van de Ven","TOT","D","Claim","1-OGBEAN'S","1","Thu Apr 25, 2024, 10:18PM","35"
"Toti","WOL","D","Drop","1-OGBEAN'S","1","Thu Apr 25, 2024, 10:18PM","35"
"Kyle Walker","MCI","D","Claim","1-OGBEAN'S","1","Thu Apr 25, 2024, 10:16PM","35"
"Bobby De Cordova-Reid","FUL","F","Drop","1-OGBEAN'S","1","Thu Apr 25, 2024, 10:16PM","35"
"Chiedozie Ogbene","LUT","F","Claim","1-OGBEAN'S","1","Thu Apr 25, 2024, 10:16PM","35"
"Ben Chilwell","CHE","D","Claim","1-ComeBack Szn","1","Thu Apr 25, 2024, 9:09PM","35"
"Lloyd Kelly","BOU","D","Drop","1-ComeBack Szn","1","Thu Apr 25, 2024, 9:09PM","35"
"Noni Madueke","CHE","F","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Thu Apr 25, 2024, 9:01PM","35"
"Marc Cucurella","CHE","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Thu Apr 25, 2024, 9:01PM","35"
"Nathan Ake","MCI","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Thu Apr 25, 2024, 9:01PM","35"
"Thiago Silva","CHE","D","Claim","1-The Dentist","3","Thu Apr 25, 2024, 9:00PM","35"
"Benoit Badiashile","CHE","D","Claim","1-OGBEAN'S","3","Thu Apr 25, 2024, 9:00PM","35"
"Abdoulaye Doucoure","EVE","M","Drop","1-OGBEAN'S","3","Thu Apr 25, 2024, 9:00PM","35"
"Djordje Petrovic","CHE","G","Claim","1-The Dentist","1","Thu Apr 25, 2024, 9:00PM","35"
"David Raya","BRF/ARS","G","Drop","1-The Dentist","1","Thu Apr 25, 2024, 9:00PM","35"
"Guglielmo Vicario","TOT","G","Claim","1-OGBEAN'S","1","Thu Apr 25, 2024, 9:00PM","35"
"Dean Henderson","MUN/CRY","G","Drop","1-OGBEAN'S","1","Thu Apr 25, 2024, 9:00PM","35"
"Illia Zabarnyi","BOU","D","Drop","1-The Dentist","1","Thu Apr 25, 2024, 8:47PM","35"
"Antony","MUN","F","Drop","1-Koke Vegas","1","Thu Apr 25, 2024, 8:46PM","35"
"Dara O'Shea","BUR","D","Drop","1-Koke Vegas","1","Thu Apr 25, 2024, 8:46PM","35"
"Pervis Estupinan","BHA","D","Drop","1-OGBEAN'S","1","Thu Apr 25, 2024, 8:17PM","35"
"Danilo","NOT","M","Drop","1-Burnley and Old Trafford","1","Thu Apr 25, 2024, 5:48PM","35"
"Jarell Quansah","LIV","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Wed Apr 24, 2024, 8:44PM","35"
"Lloyd Kelly","BOU","D","Claim","1-ComeBack Szn","1","Thu Apr 25, 2024, 11:05PM","35"
"Benoit Badiashile","CHE","D","Drop","1-ComeBack Szn","1","Thu Apr 25, 2024, 11:05PM","35"
"Benoit Badiashile","CHE","D","Claim","1-ComeBack Szn","1","Wed Apr 24, 2024, 5:04PM","35"
"Lloyd Kelly","BOU","D","Drop","1-ComeBack Szn","1","Wed Apr 24, 2024, 5:00PM","35"
"Antony","MUN","F","Claim","1-Koke Vegas","1","Wed Apr 24, 2024, 2:09PM","34"
"Lewis Hall","CHE/NEW","D","Drop","1-Koke Vegas","1","Wed Apr 24, 2024, 2:09PM","34"
"Oscar Bobb","MCI","M","Claim","1-Burnley and Old Trafford","1","Sun Apr 21, 2024, 11:26AM","34"
"Destiny Udogie","TOT","D","Drop","1-Burnley and Old Trafford","1","Sun Apr 21, 2024, 11:26AM","34"
"Jacob Murphy","NEW","M","Claim","1-Burnley and Old Trafford","1","Sun Apr 21, 2024, 11:24AM","34"
"Bobby De Cordova-Reid","FUL","F","Claim","1-OGBEAN'S","1","Sun Apr 21, 2024, 10:44AM","34"
"Jarell Quansah","LIV","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sun Apr 21, 2024, 10:31AM","34"
"Konstantinos Tsimikas","LIV","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sun Apr 21, 2024, 10:31AM","34"
"Konstantinos Tsimikas","LIV","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sun Apr 21, 2024, 9:21AM","34"
"Jordan Ayew","CRY","F","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sun Apr 21, 2024, 9:04AM","34"
"Lloyd Kelly","BOU","D","Claim","1-ComeBack Szn","1","Sun Apr 21, 2024, 9:03AM","34"
"Chris Mepham","BOU","D","Drop","1-ComeBack Szn","1","Sun Apr 21, 2024, 9:03AM","34"
"Chris Richards","CRY","D","Claim","1-OGBEAN'S","1","Sun Apr 21, 2024, 9:01AM","34"
"Rico Lewis","MCI","D","Drop","1-OGBEAN'S","1","Sun Apr 21, 2024, 9:01AM","34"
"Jack Harrison","LEE/EVE","M,F","Claim","1-bruNO HARD FEELINGS","1","Sun Apr 21, 2024, 7:31AM","34"
"Guglielmo Vicario","TOT","G","Drop","1-bruNO HARD FEELINGS","1","Sun Apr 21, 2024, 7:31AM","34"
"Ben Osborn","SHU","M","Drop","1-The Dentist","1","Sat Apr 20, 2024, 10:01PM","35"
"Ben Davies","TOT","D","Claim","1-The Dentist","1","Sat Apr 20, 2024, 10:00PM","34"
"Wataru Endo","LIV","M","Drop","1-The Dentist","1","Sat Apr 20, 2024, 10:00PM","34"
"Toti","WOL","D","Claim","1-OGBEAN'S","1","Sat Apr 20, 2024, 2:11PM","34"
"Nelson Semedo","WOL","D","Drop","1-OGBEAN'S","1","Sat Apr 20, 2024, 2:11PM","34"
"Ben Osborn","SHU","M","Claim","1-The Dentist","1","Sat Apr 20, 2024, 9:55AM","34"
"Ben Osborn","SHU","M","Drop","1-The Dentist","1","Sat Apr 20, 2024, 9:54AM","34"
"David Datro Fofana","CHE/BUR","F","Drop","1-Burnley and Old Trafford","1","Sat Apr 20, 2024, 9:41AM","34"
"Mikkel Damsgaard","BRF","M","Claim","1-Greek Prison XI","1","Sat Apr 20, 2024, 9:27AM","34"
"Evan Ferguson","BHA","F","Drop","1-Greek Prison XI","1","Sat Apr 20, 2024, 9:27AM","34"
"Issa Kabore","LUT","D","Claim","1-Greek Prison XI","1","Sat Apr 20, 2024, 9:26AM","34"
"Tariq Lamptey","BHA","D","Drop","1-Greek Prison XI","1","Sat Apr 20, 2024, 9:26AM","34"
"Carlos Baleba","BHA","M","Drop","1-rice cooker","1","Sat Apr 20, 2024, 9:13AM","34"
"Jayden Bogle","SHU","D","Claim","1-rice cooker","1","Sat Apr 20, 2024, 9:13AM","34"
"Vinicius de Souza Costa","SHU","M","Claim","1-rice cooker","1","Sat Apr 20, 2024, 9:08AM","34"
"Micky van de Ven","TOT","D","Drop","1-rice cooker","1","Sat Apr 20, 2024, 9:07AM","34"
"James Mcatee","MCI/SHU","M","Claim","1-ComeBack Szn","1","Sat Apr 20, 2024, 9:06AM","34"
"Zanka","BRF","D","Drop","1-ComeBack Szn","1","Sat Apr 20, 2024, 9:06AM","34"
"Vinicius de Souza Costa","SHU","M","Drop","1-OGBEAN'S","1","Sat Apr 20, 2024, 9:01AM","34"
"Vinicius de Souza Costa","SHU","M","Claim","1-OGBEAN'S","1","Sat Apr 20, 2024, 9:00AM","34"
"Chiedozie Ogbene","LUT","F","Drop","1-OGBEAN'S","1","Sat Apr 20, 2024, 9:00AM","34"
"Cristian Romero","TOT","D","Claim","1-The Dentist","1","Fri Apr 19, 2024, 11:45AM","34"
"Mads Roerslev","BRF","D","Drop","1-The Dentist","1","Fri Apr 19, 2024, 11:40AM","34"
"Arijanet Muric","BUR","G","Claim","1 - The Narrative","1","Thu Apr 18, 2024, 10:04AM","34"
"Djordje Petrovic","CHE","G","Drop","1 - The Narrative","1","Thu Apr 18, 2024, 10:04AM","34"
"Danilo","NOT","M","Claim","1-Burnley and Old Trafford","1","Wed Apr 17, 2024, 1:22AM","34"
"Philip Billing","BOU","M","Drop","1-Burnley and Old Trafford","1","Wed Apr 17, 2024, 1:22AM","34"
"Reece Burke","LUT","D","Claim","1-Burnley and Old Trafford","1","Wed Apr 17, 2024, 1:21AM","34"
"Thiago Silva","CHE","D","Drop","1-Burnley and Old Trafford","1","Wed Apr 17, 2024, 1:21AM","34"
"Emil Krafth","NEW","D","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Wed Apr 17, 2024, 1:01AM","34"
"Adam Smith","BOU","D","Claim","1-OGBEAN'S","1","Tue Apr 16, 2024, 9:42PM","34"
"Seamus Coleman","EVE","D","Drop","1-OGBEAN'S","1","Tue Apr 16, 2024, 9:42PM","34"
"Illia Zabarnyi","BOU","D","Claim","1-The Dentist","1","Tue Apr 16, 2024, 9:29PM","34"
"Yves Bissouma","TOT","M","Claim","1-The Dentist","1","Tue Apr 16, 2024, 9:25PM","34"
"Ben Osborn","SHU","M","Claim","1-The Dentist","1","Tue Apr 16, 2024, 9:21PM","34"
"Curtis Jones","LIV","M","Drop","1-The Dentist","1","Tue Apr 16, 2024, 9:19PM","34"
"Wataru Endo","LIV","M","Claim","1-The Dentist","1","Tue Apr 16, 2024, 9:18PM","34"
"Dara O'Shea","BUR","D","Claim","1-Koke Vegas","1","Tue Apr 16, 2024, 9:13PM","34"
"Cristian Romero","TOT","D","Drop","1-Koke Vegas","1","Tue Apr 16, 2024, 9:13PM","34"
"Jakub Kiwior","ARS","D","Claim","1 - The Narrative","1","Tue Apr 16, 2024, 9:09PM","34"
"Seamus Coleman","EVE","D","Claim","1-OGBEAN'S","4","Tue Apr 16, 2024, 9:00PM","34"
"Vladimir Coufal","WHU","D","Drop","1-OGBEAN'S","4","Tue Apr 16, 2024, 9:00PM","34"
"Dean Henderson","MUN/CRY","G","Claim","1-OGBEAN'S","2","Tue Apr 16, 2024, 9:00PM","34"
"Arijanet Muric","BUR","G","Drop","1-OGBEAN'S","2","Tue Apr 16, 2024, 9:00PM","34"
"Harvey Elliott","LIV","M","Claim","1 - The Narrative","2","Tue Apr 16, 2024, 9:00PM","34"
"Chris Mepham","BOU","D","Claim","1-ComeBack Szn","3","Tue Apr 16, 2024, 9:00PM","34"
"Joel Veltman","BHA","D","Drop","1-ComeBack Szn","3","Tue Apr 16, 2024, 9:00PM","34"
"Cody Gakpo","LIV","F","Claim","1-OGBEAN'S","1","Tue Apr 16, 2024, 9:00PM","34"
"Lyle Foster","BUR","F","Drop","1-OGBEAN'S","1","Tue Apr 16, 2024, 9:00PM","34"
"Bernd Leno","FUL","G","Claim","1-bruNO HARD FEELINGS","1","Tue Apr 16, 2024, 9:00PM","34"
"Tyrick Mitchell","CRY","D","Claim","1 - The Narrative","1","Tue Apr 16, 2024, 9:00PM","34"
"Julio Enciso","BHA","F","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Mon Apr 15, 2024, 8:09PM","34"
"Rodrigo Bentancur","TOT","M","Drop","1-bruNO HARD FEELINGS","1","Mon Apr 15, 2024, 6:46PM","34"
"Matheus Nunes","WOL/MCI","M","Drop","1-The Dentist","1","Mon Apr 15, 2024, 4:13PM","34"
"Mikkel Damsgaard","BRF","M","Drop","1-The Dentist","1","Mon Apr 15, 2024, 4:13PM","34"
"Jan-Paul van Hecke","BHA","D","Drop","1-The Dentist","1","Mon Apr 15, 2024, 4:12PM","34"
"Moises Caicedo","BHA/CHE","M","Claim","1-ComeBack Szn","1","Sun Apr 14, 2024, 8:41AM","33"
"Caoimhin Kelleher","LIV","G","Drop","1-ComeBack Szn","1","Sun Apr 14, 2024, 8:37AM","33"
"Luis Sinisterra","LEE/BOU","F","Drop","1 - The Narrative","1","Sun Apr 14, 2024, 8:32AM","34"
"Jacob Bruun Larsen","BUR","F","Drop","1 - The Narrative","1","Sun Apr 14, 2024, 8:32AM","34"
"Adam Wharton","CRY","M","Claim","1-OGBEAN'S","1","Sun Apr 14, 2024, 8:25AM","33"
"Cody Gakpo","LIV","F","Drop","1-rice cooker","1","Sun Apr 14, 2024, 8:20AM","33"
"Curtis Jones","LIV","M","Claim","1-The Dentist","1","Sun Apr 14, 2024, 8:08AM","33"
"Jakub Kiwior","ARS","D","Drop","1-The Dentist","1","Sun Apr 14, 2024, 8:08AM","33"
"Luis Sinisterra","LEE/BOU","F","Claim","1 - The Narrative","1","Sat Apr 13, 2024, 11:42AM","33"
"Tyler Adams","LEE/BOU","M","Drop","1 - The Narrative","1","Sat Apr 13, 2024, 11:42AM","33"
"Oliver Arblaster","SHU","M","Claim","1-ComeBack Szn","1","Sat Apr 13, 2024, 9:15AM","33"
"John Stones","MCI","D","Drop","1-ComeBack Szn","1","Sat Apr 13, 2024, 9:15AM","33"
"Kristoffer Ajer","BRF","D","Drop","1-OGBEAN'S","1","Sat Apr 13, 2024, 9:06AM","33"
"Giovanni Reyna","NOT","M","Claim","1-Koke Vegas","1","Sat Apr 13, 2024, 9:06AM","33"
"Vinicius de Souza Costa","SHU","M","Drop","1-Koke Vegas","1","Sat Apr 13, 2024, 9:06AM","33"
"Matt Doherty","WOL","D","Claim","1-john lim","1","Sat Apr 13, 2024, 9:04AM","33"
"Toti","WOL","D","Drop","1-john lim","1","Sat Apr 13, 2024, 9:04AM","33"
"Toti","WOL","D","Claim","1-john lim","1","Sat Apr 13, 2024, 9:03AM","33"
"Craig Dawson","WOL","D","Drop","1-john lim","1","Sat Apr 13, 2024, 9:03AM","33"
"Carlos Baleba","BHA","M","Claim","1-rice cooker","1","Sat Apr 13, 2024, 9:02AM","33"
"Facundo Buonanotte","BHA","M","Drop","1-rice cooker","1","Sat Apr 13, 2024, 9:02AM","33"
"Cody Gakpo","LIV","F","Claim","1-rice cooker","1","Sat Apr 13, 2024, 8:05AM","33"
"Rodrigo Bentancur","TOT","M","Claim","1-bruNO HARD FEELINGS","1","Sat Apr 13, 2024, 6:31AM","33"
"Cody Gakpo","LIV","F","Drop","1-bruNO HARD FEELINGS","1","Sat Apr 13, 2024, 6:31AM","33"
"Cody Gakpo","LIV","F","Claim","1-bruNO HARD FEELINGS","1","Sat Apr 13, 2024, 12:08AM","33"
"Jose Sa","WOL","G","Claim","1-Koke Vegas","1","Fri Apr 12, 2024, 9:00PM","33"
"Bernd Leno","FUL","G","Drop","1-Koke Vegas","1","Fri Apr 12, 2024, 9:00PM","33"
"Matheus Nunes","WOL/MCI","M","Claim","1-The Dentist","1","Fri Apr 12, 2024, 3:25PM","33"
"Adam Wharton","CRY","M","Drop","1-The Dentist","1","Fri Apr 12, 2024, 3:25PM","33"
"Mikkel Damsgaard","BRF","M","Claim","1-The Dentist","1","Fri Apr 12, 2024, 3:24PM","33"
"Tyrick Mitchell","CRY","D","Drop","1-The Dentist","1","Fri Apr 12, 2024, 3:24PM","33"
"Dango Ouattara","BOU","F","Claim","1-Burnley and Old Trafford","1","Fri Apr 12, 2024, 11:59AM","33"
"Marcus Tavernier","BOU","M","Drop","1-Burnley and Old Trafford","1","Fri Apr 12, 2024, 11:59AM","33"
"Vinicius de Souza Costa","SHU","M","Claim","1-Koke Vegas","1","Fri Apr 12, 2024, 10:25AM","33"
"Cody Gakpo","LIV","F","Drop","1-Koke Vegas","1","Fri Apr 12, 2024, 10:25AM","33"
"Christopher Nkunku","CHE","F","Drop","1-rice cooker","1","Fri Apr 12, 2024, 10:16AM","33"
"Elliot Anderson","NEW","M","Claim","1-Koke Vegas","1","Fri Apr 12, 2024, 9:53AM","33"
"Alphonse Areola","WHU","G","Drop","1-Koke Vegas","1","Fri Apr 12, 2024, 9:52AM","33"
"Jurrien Timber","ARS","D","Claim","1 - The Narrative","1","Fri Apr 12, 2024, 8:48AM","33"
"Bernd Leno","FUL","G","Claim","1-Koke Vegas","1","Thu Apr 11, 2024, 2:49PM","33"
"Jacob Ramsey","AVL","M","Drop","1-Koke Vegas","1","Thu Apr 11, 2024, 2:49PM","33"
"Justin Kluivert","BOU","M,F","Claim","1-john lim","1","Thu Apr 11, 2024, 10:33AM","33"
"Tyrick Mitchell","CRY","D","Claim","1-The Dentist","1","Thu Apr 11, 2024, 10:31AM","33"
"Moises Caicedo","BHA/CHE","M","Drop","1-The Dentist","1","Thu Apr 11, 2024, 10:31AM","33"
"Beto","EVE","F","Drop","1-john lim","1","Thu Apr 11, 2024, 10:29AM","33"
"Adam Wharton","CRY","M","Claim","1-The Dentist","1","Thu Apr 11, 2024, 10:28AM","33"
"Ben Chilwell","CHE","D","Drop","1-The Dentist","1","Thu Apr 11, 2024, 10:28AM","33"
"Craig Dawson","WOL","D","Claim","1-john lim","1","Thu Apr 11, 2024, 10:26AM","33"
"Illia Zabarnyi","BOU","D","Drop","1-john lim","1","Thu Apr 11, 2024, 10:26AM","33"
"Ben Chilwell","CHE","D","Claim","1-The Dentist","1","Thu Apr 11, 2024, 10:24AM","33"
"Oliver Arblaster","SHU","M","Drop","1-The Dentist","1","Thu Apr 11, 2024, 10:24AM","33"
"Moises Caicedo","BHA/CHE","M","Claim","1-The Dentist","1","Wed Apr 10, 2024, 2:37PM","33"
"Jarell Quansah","LIV","D","Drop","1-The Dentist","1","Wed Apr 10, 2024, 2:37PM","33"
"Ashley Young","EVE","D","Claim","1-Koke Vegas","1","Tue Apr 9, 2024, 10:35PM","33"
"Alphonse Areola","WHU","G","Claim","1-Koke Vegas","1","Tue Apr 9, 2024, 10:33PM","33"
"Jose Sa","WOL","G","Drop","1-Koke Vegas","1","Tue Apr 9, 2024, 10:33PM","33"
"Philip Billing","BOU","M","Claim","1-Burnley and Old Trafford","1","Tue Apr 9, 2024, 9:29PM","33"
"Danilo","NOT","M","Drop","1-Burnley and Old Trafford","1","Tue Apr 9, 2024, 9:29PM","33"
"Joel Veltman","BHA","D","Claim","1-ComeBack Szn","1","Tue Apr 9, 2024, 9:18PM","33"
"Bart Verbruggen","BHA","G","Drop","1-ComeBack Szn","1","Tue Apr 9, 2024, 9:18PM","33"
"Facundo Buonanotte","BHA","M","Claim","1-rice cooker","1","Tue Apr 9, 2024, 9:16PM","33"
"Timothy Castagne","LEI/FUL","D","Drop","1-rice cooker","1","Tue Apr 9, 2024, 9:14PM","33"
"Bart Verbruggen","BHA","G","Claim","1-ComeBack Szn","1","Tue Apr 9, 2024, 9:14PM","33"
"Ezri Konsa","AVL","D","Drop","1-ComeBack Szn","1","Tue Apr 9, 2024, 9:14PM","33"
"Harvey Barnes","NEW","M","Claim","1-The Dentist","1","Tue Apr 9, 2024, 9:11PM","33"
"Noni Madueke","CHE","F","Drop","1-The Dentist","1","Tue Apr 9, 2024, 9:11PM","33"
"Oliver Arblaster","SHU","M","Claim","1-The Dentist","1","Tue Apr 9, 2024, 9:10PM","33"
"Jan-Paul van Hecke","BHA","D","Claim","1-The Dentist","1","Tue Apr 9, 2024, 9:09PM","33"
"Jean-Philippe Mateta","CRY","F","Claim","1 - The Narrative","1","Tue Apr 9, 2024, 9:01PM","33"
"Jarell Quansah","LIV","D","Claim","1-The Dentist","1","Tue Apr 9, 2024, 9:01PM","33"
"Mads Roerslev","BRF","D","Claim","1-The Dentist","1","Tue Apr 9, 2024, 9:01PM","33"
"Jakub Kiwior","ARS","D","Claim","1-The Dentist","1","Tue Apr 9, 2024, 9:00PM","33"
"Zanka","BRF","D","Claim","1-ComeBack Szn","1","Tue Apr 9, 2024, 9:00PM","33"
"Abdoulaye Doucoure","EVE","M","Claim","1-OGBEAN'S","1","Tue Apr 9, 2024, 9:00PM","33"
"Oscar Bobb","MCI","M","Drop","1-OGBEAN'S","1","Tue Apr 9, 2024, 9:00PM","33"
"Gustavo Hamer","SHU","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Tue Apr 9, 2024, 9:00PM","33"
"Tom Cairney","FUL","M","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Tue Apr 9, 2024, 9:00PM","33"
"Micky van de Ven","TOT","D","Claim","1-rice cooker","1","Tue Apr 9, 2024, 9:00PM","33"
"Wataru Endo","LIV","M","Drop","1-rice cooker","1","Tue Apr 9, 2024, 6:17PM","33"
"Lloyd Kelly","BOU","D","Drop","1-rice cooker","1","Tue Apr 9, 2024, 6:17PM","33"
"Justin Kluivert","BOU","M,F","Drop","1-The Dentist","1","Mon Apr 8, 2024, 11:01AM","33"
"Ashley Young","EVE","D","Drop","1-The Dentist","1","Mon Apr 8, 2024, 10:59AM","33"
"Matt Doherty","WOL","D","Drop","1-The Dentist","1","Sun Apr 7, 2024, 8:56PM","33"
"Thiago Silva","CHE","D","Claim","1-Burnley and Old Trafford","1","Sun Apr 7, 2024, 11:35AM","32"
"Carney Chukwuemeka","CHE","M","Drop","1-Koke Vegas","1","Sun Apr 7, 2024, 11:35AM","32"
"Carney Chukwuemeka","CHE","M","Claim","1-Koke Vegas","1","Sun Apr 7, 2024, 11:35AM","32"
"Oliver McBurnie","SHU","F","Claim","1-john lim","1","Sun Apr 7, 2024, 11:31AM","32"
"Harvey Elliott","LIV","M","Drop","1-Burnley and Old Trafford","1","Sun Apr 7, 2024, 9:40AM","32"
"Wataru Endo","LIV","M","Claim","1-rice cooker","1","Sun Apr 7, 2024, 9:33AM","32"
"Antony","MUN","F","Drop","1-Koke Vegas","1","Sun Apr 7, 2024, 9:31AM","32"
"Antony","MUN","F","Claim","1-Koke Vegas","1","Sun Apr 7, 2024, 8:03AM","32"
"Jacob Murphy","NEW","M","Drop","1-ComeBack Szn","1","Sat Apr 6, 2024, 12:32PM","33"
"Jakub Kiwior","ARS","D","Drop","1-bruNO HARD FEELINGS","1","Sat Apr 6, 2024, 12:17PM","32"
"Danilo","NOT","M","Claim","1-Burnley and Old Trafford","1","Sat Apr 6, 2024, 11:33AM","32"
"Joe Willock","NEW","M","Drop","1-The Dentist","1","Sat Apr 6, 2024, 11:33AM","33"
"Dara O'Shea","BUR","D","Drop","1 - The Narrative","1","Sat Apr 6, 2024, 11:33AM","33"
"Chris Richards","CRY","D","Drop","1 - The Narrative","1","Sat Apr 6, 2024, 9:52AM","33"
"Emiliano Martinez","AVL","G","Claim","1-Check Complete FC","1","Sat Apr 6, 2024, 9:42AM","32"
"James Trafford","BUR","G","Drop","1-Check Complete FC","1","Sat Apr 6, 2024, 9:42AM","32"
"Jack Harrison","LEE/EVE","M,F","Drop","1-Burnley and Old Trafford","1","Sat Apr 6, 2024, 9:32AM","32"
"Jacob Bruun Larsen","BUR","F","Claim","1 - The Narrative","1","Sat Apr 6, 2024, 9:30AM","32"
"Tom Cairney","FUL","M","Claim","1-Barkley’s Balls Sponsored by Baileys","1","Sat Apr 6, 2024, 9:14AM","32"
"Adam Smith","BOU","D","Drop","1-Barkley’s Balls Sponsored by Baileys","1","Sat Apr 6, 2024, 9:14AM","32"
"Ezri Konsa","AVL","D","Claim","1-ComeBack Szn","1","Sat Apr 6, 2024, 9:08AM","32"
"Chris Mepham","BOU","D","Drop","1-ComeBack Szn","1","Sat Apr 6, 2024, 9:08AM","32"
"Timothy Castagne","LEI/FUL","D","Claim","1-rice cooker","1","Sat Apr 6, 2024, 9:03AM","32"
"Matt Doherty","WOL","D","Claim","1-The Dentist","1","Sat Apr 6, 2024, 9:02AM","32"
"Lloyd Kelly","BOU","D","Claim","1-rice cooker","1","Sat Apr 6, 2024, 9:02AM","32"
"Elliot Anderson","NEW","M","Drop","1-Koke Vegas","1","Sat Apr 6, 2024, 9:02AM","32"
